Order ID,Product,Region,Sales Rep,Quantity,Unit Price,Total Price,Order Date
112,Laptop,North,Alice,1.0,2500,2500.0,14-03-2022
113,Keyboard,,Alice,5.0,2000,10000.0,08-04-2022
114,Mouse,south,David,5.0,1000,5000.0,23-03-2022
115,Laptop,,Charlie,,1500,,2022/05/09
116,Mouse,,Alice,,500,,2022/03/17
117,Keyboard,East,David,,500,,01-11-2022
118,Tablet,West,Frank,2.0,1500,3000.0,2022/12/21
119,Mouse,South,Bob,1.0,1500,1500.0,2022/03/26
120,Mobile,south,David,,2500,,03-06-2022
121,Monitor,NORTH,Bob,,2000,,08/16/2022
122,Tablet,,Frank,2.0,2000,4000.0,01/21/2022
123,Tablet,,,,2000,,10/08/2022
124,Tablet,,David,,2500,,2022/10/02
125,Mouse,NORTH,David,,2000,,27-01-2022
126,Monitor,East,,2.0,2000,4000.0,2022/06/07
127,Mobile,North,Eve,10.0,1000,10000.0,2022/12/11
128,Tablet,,Grace,10.0,1000,10000.0,08-02-2022
129,Laptop,South,Eve,2.0,2000,4000.0,2022/03/25
130,Mouse,North,David,,1000,,02/16/2022
131,Keyboard,,Frank,,2000,,26-01-2022
132,Mobile,South,Alice,,1000,,13-03-2022
133,Mobile,East,Eve,10.0,1000,10000.0,06/01/2022
134,Monitor,West,Grace,2.0,500,1000.0,05/26/2022
135,Monitor,South,Alice,2.0,2500,5000.0,24-06-2022
136,Tablet,West,Bob,1.0,2500,2500.0,30-05-2022
137,Tablet,West,Grace,5.0,1000,5000.0,19-03-2022
138,Keyboard,North,Frank,1.0,1000,1000.0,11/16/2022
139,Keyboard,South,Charlie,2.0,2500,5000.0,16-06-2022
140,Laptop,East,Grace,10.0,1500,15000.0,2022/03/09
141,Mouse,South,,,2000,,20-08-2022
142,Laptop,West,Charlie,1.0,500,500.0,11-03-2022
143,Monitor,NORTH,Alice,10.0,1000,10000.0,01/05/2022
144,Keyboard,south,,2.0,1500,3000.0,27-10-2022
145,Mobile,East,Frank,2.0,2000,4000.0,2022/09/15
146,Laptop,East,Bob,10.0,2000,20000.0,05-02-2022
147,Keyboard,NORTH,Grace,1.0,1000,1000.0,07-06-2022
148,Monitor,North,,10.0,2000,20000.0,2022/01/03
149,Keyboard,,David,5.0,2500,12500.0,26-12-2022
150,Laptop,south,Eve,10.0,1000,10000.0,19-08-2022
151,Keyboard,West,Frank,10.0,1000,10000.0,22-05-2022
152,Mobile,NORTH,Bob,1.0,2500,2500.0,09/15/2022
153,Laptop,North,Alice,5.0,1500,7500.0,2022/06/29
154,Mobile,West,Bob,5.0,1500,7500.0,2022/05/23
155,Monitor,NORTH,David,2.0,2000,4000.0,27-08-2022
156,Mobile,south,Bob,,1500,,2022/06/07
157,Mouse,south,Frank,5.0,2000,10000.0,14-01-2022
158,Keyboard,East,Bob,5.0,1000,5000.0,2022/07/25
159,Mobile,North,Bob,1.0,2500,2500.0,06-11-2022
160,Monitor,,Frank,1.0,2500,2500.0,25-01-2022
161,Keyboard,South,,,1000,,01/25/2022
162,Monitor,NORTH,David,10.0,2000,20000.0,05/21/2022
163,Mouse,West,Bob,,2000,,09-06-2022
164,Tablet,south,Bob,10.0,1500,15000.0,10/14/2022
165,Keyboard,East,Bob,2.0,500,1000.0,2022/05/10
166,Tablet,South,Eve,1.0,1500,1500.0,09-04-2022
167,Laptop,West,Frank,5.0,2000,10000.0,04/07/2022
168,Laptop,NORTH,Grace,10.0,2000,20000.0,2022/08/09
169,Mobile,,Eve,10.0,2500,25000.0,01/07/2022
170,Monitor,south,Frank,,2500,,27-03-2022
171,Mouse,,Bob,5.0,2500,12500.0,2022/09/03
172,Keyboard,South,Grace,2.0,2500,5000.0,06-03-2022
173,Keyboard,South,Bob,,2500,,2022/06/30
174,Keyboard,NORTH,,10.0,500,5000.0,07/07/2022
175,Keyboard,West,,,1000,,2022/07/15
176,Monitor,West,Bob,5.0,500,2500.0,09-08-2022
177,Mouse,South,Eve,2.0,2500,5000.0,23-04-2022
178,Laptop,North,Alice,1.0,1000,1000.0,01-03-2022
179,Laptop,South,Bob,2.0,2000,4000.0,20-08-2022
180,Monitor,East,Grace,2.0,1500,3000.0,02-08-2022
181,Laptop,West,Grace,,1500,,10-03-2022
182,Keyboard,NORTH,,1.0,1500,1500.0,04/19/2022
183,Tablet,North,Eve,10.0,2500,25000.0,2022/08/20
184,Mouse,West,Charlie,10.0,1500,15000.0,01/28/2022
185,Tablet,South,Eve,,1000,,02/07/2022
186,Monitor,North,Grace,1.0,500,500.0,2022/02/18
187,Monitor,south,Alice,1.0,500,500.0,2022/04/29
188,Mobile,South,Eve,10.0,2000,20000.0,2022/12/13
189,Mouse,NORTH,Eve,10.0,1000,10000.0,2022/01/11
190,Laptop,South,Grace,1.0,500,500.0,2022/11/11
191,Monitor,South,Alice,2.0,2000,4000.0,08/01/2022
192,Mouse,North,,,1500,,2022/05/02
193,Laptop,West,Alice,2.0,2500,5000.0,2022/05/29
194,Mouse,south,Grace,10.0,1500,15000.0,2022/09/13
195,Mouse,East,Alice,10.0,2500,25000.0,2022/09/26
196,Mobile,NORTH,Eve,10.0,1500,15000.0,02/19/2022
197,Tablet,,,10.0,2500,25000.0,10/05/2022
198,Keyboard,NORTH,Alice,5.0,1500,7500.0,23-01-2022
199,Mouse,,David,1.0,2500,2500.0,2022/04/21
200,Mobile,North,David,,1500,,04/14/2022
